2022-10-26  14:22:03 - fundSpider.py[line:400] - INFO: 	华夏60后智享财富组合备选基金信息入库成功
2022-10-26  14:22:03 - fundSpider.py[line:420] - INFO: 	华夏60后智享财富组合日收益信息入库成功

2022-10-26  14:22:03 - fundSpider.py[line:264] - INFO: 	华夏帮你选新能源基本信息爬取成功
2022-10-26  14:22:03 - fundSpider.py[line:314] - INFO: 	华夏帮你选新能源区间收益信息爬取成功
2022-10-26  14:22:03 - fundSpider.py[line:345] - INFO: 	华夏帮你选新能源持仓分布信息爬取成功
2022-10-26  14:22:03 - fundSpider.py[line:378] - INFO: 	华夏帮你选新能源调仓历史信息爬取成功
2022-10-26  14:22:03 - fundSpider.py[line:400] - INFO: 	华夏帮你选新能源备选基金信息入库成功
2022-10-26  14:22:03 - fundSpider.py[line:420] - INFO: 	华夏帮你选新能源日收益信息入库成功

2022-10-26  14:22:04 - fundSpider.py[line:264] - INFO: 	步步盈基本信息爬取成功
2022-10-26  14:22:04 - fundSpider.py[line:314] - INFO: 	步步盈区间收益信息爬取成功
2022-10-26  14:22:04 - fundSpider.py[line:345] - INFO: 	步步盈持仓分布信息爬取成功
2022-10-26  14:22:04 - fundSpider.py[line:378] - INFO: 	步步盈调仓历史信息爬取成功
2022-10-26  14:22:04 - fundSpider.py[line:400] - INFO: 	步步盈备选基金信息入库成功
2022-10-26  14:22:04 - fundSpider.py[line:420] - INFO: 	步步盈日收益信息入库成功

